301,"[4.302001436718571, 4.979953154383776, 4.953779739607301]"
302,"[4.798409090369437, 3.518265751260781, 3.6782127646306155, 4.06611465471836, 4.490223597213079]"
303,"[4.866604677147268, 3.058817690643098, 2.679960724003563, 3.8111258497572216, 3.5034713770093555, 3.2988270836428555]"
304,"[2.959538939094635, 2.012584278865366, 2.564183233505235, 4.725260040997464, 3.3027297384349428, 2.4348068714028583, 3.600281896495912]"
305,"[3.2325189125694234, 1.691485593312179, 1.636816675412003, 3.1795163131516353, 3.475844974078756, 1.9140223703491268, 2.3862510903910765, 4.908559097752783]"
306,"[3.901844987410045, 1.7356607859720519, 1.042815899592545, 1.9345432900502166, 4.523089461612915, 4.045848142032621, 1.7535694561180875, 1.4959599460052946, 3.28606789752121]"
307,"[2.1875486927989334, 0.8251811501892788, 1.0338943002465393, 2.923618964348726, 1.9984177128324845, 0.9749749731747517, 1.9968676343890406]"
308,"[3.065802511149502, 1.0030098227019493, 0.49713174934088217, 1.6560487788816576, 4.564079179187779, 2.6667397376514552, 0.8419872348584344, 1.0601721320626583, 3.3259218542209212]"
309,"[4.39963704411546, 1.604617865693275, 0.35165845734332757, 0.7468505676232413, 2.8770950297380433, 3.7874799042600427, 1.124911939471209, 0.5028706529535442, 1.9279558609082998]"
310,"[2.6639307025540844, 0.6314401913018954, 0.230056359101707, 1.549343964958977, 4.666697227838385, 1.8582387556426307, 0.3594995236508412, 0.9074894510194176, 3.488135147597477]"
311,"[4.214443684945561, 1.37110963519672, 0.14150995619184642, 0.6179450997867199, 2.8791843681235543, 3.0768921196980945, 0.6662665013581023, 0.302027358897247, 1.9738553503505876]"
312,"[2.5915137647838318, 0.5085340307381198, 0.11676457221963248, 1.496015167436757, 4.750474945831663, 4.796789922059175, 1.4462706155838692, 0.1418630506664492, 0.8771563876280413, 3.6387391313550586]"
313,"[4.332756149757574, 1.3669550547146456, 0.07728097474231459, 0.544211733108221, 2.8681980248947636, 2.7376760027591995, 0.4604066556679615, 0.22670999933354646, 2.0196708121165017]"
314,"[2.7565036290663207, 0.5384862619089049, 0.06202385809895126, 1.4238187958465902, 4.757717178412822, 4.58018289142296, 1.2965916305286265, 0.06067805463892586, 0.8518914802586695, 3.680270795091121]"
315,"[4.724891427958401, 1.5460993990756593, 0.09317392357765326, 0.45903497152933914, 2.772019758780853, 2.696484565016341, 0.42302545588528406, 0.17726539916694342, 1.965091483531792]"
316,"[3.1498959350933795, 0.6875276498392132, 0.0238230035326626, 1.2813442426805495, 4.601713656068822, 4.709445130824495, 1.3632227159557464, 0.04538190812634455, 0.7572444923951223, 3.5440360541353524]"
317,"[1.9012725647086008, 0.17268617282827256, 0.3384970522449408, 2.541173787592656, 2.936646152652883, 0.5098991814015681, 0.10873598864735216, 1.772322453222744]"
318,"[3.8078601894788298, 0.972422424244956, 0.0034806943278865112, 1.044363376452417, 4.199141048016037, 1.639377307258896, 0.08120746838170972, 0.5771770057958361, 3.156597875373599]"
319,"[2.4813734353281682, 0.3443539224234895, 0.18927906322575602, 2.1318276951944757, 3.489704183018171, 0.7404335242590305, 0.03433949352365415, 1.4100640650802978, 4.8494110273683]"
